age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,y
27,self-employed,single,tertiary,no,970,yes,no,cellular,13,feb,55,no
27,blue-collar,single,primary,no,265,yes,no,cellular,13,may,1119,yes
32,student,single,secondary,no,1102,no,no,telephone,8,oct,194,yes
32,blue-collar,single,secondary,no,1721,yes,no,unknown,21,may,650,no
38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,yes
31,admin.,single,secondary,no,513,yes,no,unknown,13,may,180,no
58,admin.,married,secondary,no,749,yes,no,unknown,14,may,151,no
30,blue-collar,single,secondary,no,297,yes,no,cellular,25,jul,218,no
37,admin.,married,secondary,no,536,yes,no,cellular,23,jul,328,no
26,blue-collar,single,secondary,no,1802,yes,no,unknown,3,jun,28,no
44,blue-collar,single,secondary,no,292,no,yes,cellular,17,jul,1153,yes
34,services,single,secondary,no,-374,yes,no,cellular,11,may,672,yes
40,blue-collar,divorced,secondary,no,393,yes,yes,cellular,17,jul,291,no
42,blue-collar,married,secondary,no,705,yes,no,cellular,17,apr,52,no
25,blue-collar,single,secondary,no,1243,no,yes,cellular,10,jul,1341,yes
32,management,single,tertiary,no,2016,no,no,cellular,13,apr,232,yes
41,blue-collar,married,primary,no,33,yes,yes,cellular,30,jul,125,no
32,services,single,secondary,no,310,yes,no,unknown,6,may,144,no
36,management,single,tertiary,no,7252,no,no,cellular,12,aug,153,no
24,services,married,secondary,no,620,yes,no,unknown,8,may,144,no
56,technician,divorced,secondary,no,146,yes,no,cellular,5,aug,419,yes
44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,yes
44,admin.,divorced,secondary,no,163,yes,no,cellular,14,jul,1669,yes
42,blue-collar,married,unknown,no,1323,yes,no,unknown,19,may,19,no
38,admin.,married,secondary,no,0,yes,yes,cellular,17,apr,547,yes
28,self-employed,single,tertiary,no,805,no,no,cellular,26,may,69,no
39,management,married,tertiary,no,416,yes,no,cellular,7,apr,145,no
48,blue-collar,married,secondary,no,863,yes,no,telephone,4,may,412,yes
29,management,single,tertiary,no,572,yes,no,telephone,8,nov,319,yes
72,retired,married,tertiary,no,2,no,no,cellular,7,aug,147,yes
41,admin.,divorced,secondary,no,8,no,no,cellular,5,feb,92,no
30,management,single,tertiary,no,1673,no,no,cellular,4,aug,200,no
28,technician,single,secondary,no,2335,no,no,cellular,13,may,624,yes
19,student,single,secondary,no,394,no,no,cellular,5,apr,327,yes
53,technician,married,tertiary,no,9001,no,no,cellular,5,apr,170,yes
52,management,married,secondary,no,0,yes,yes,unknown,27,may,62,no
42,entrepreneur,married,tertiary,no,337,yes,yes,cellular,18,nov,63,no
36,management,married,tertiary,no,203,no,no,cellular,23,jul,608,yes
37,unemployed,married,tertiary,no,7620,no,no,telephone,23,feb,367,yes
61,admin.,married,unknown,no,4629,yes,no,cellular,29,jul,349,yes
35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,yes
34,blue-collar,single,secondary,no,1484,yes,no,unknown,19,may,194,no
29,management,single,secondary,no,584,yes,no,unknown,16,jun,541,no
28,management,single,tertiary,no,187,no,no,cellular,10,sep,255,yes
47,technician,divorced,tertiary,no,194,no,no,unknown,20,jun,368,no
77,retired,divorced,tertiary,no,4659,no,no,cellular,14,apr,161,yes
38,blue-collar,divorced,secondary,no,0,yes,no,cellular,19,nov,230,no
22,admin.,single,secondary,no,372,no,no,cellular,6,oct,218,yes
31,technician,married,secondary,no,-720,yes,no,unknown,17,jun,638,no
30,self-employed,single,tertiary,no,253,yes,no,unknown,23,may,167,no
37,management,married,tertiary,no,502,yes,no,cellular,7,may,551,no
57,management,married,tertiary,no,830,yes,yes,cellular,8,may,662,yes
57,retired,married,unknown,no,230,no,no,cellular,6,apr,177,yes
39,services,divorced,secondary,no,0,yes,no,cellular,13,apr,1006,yes
28,self-employed,single,tertiary,no,159,no,no,cellular,16,nov,449,yes
25,services,single,secondary,no,333,no,yes,cellular,15,jul,1056,yes
36,unemployed,married,secondary,no,1766,no,no,unknown,11,jun,595,yes
56,retired,married,primary,no,1947,no,no,cellular,3,jun,124,no
35,services,married,secondary,no,341,yes,no,cellular,14,may,345,yes
31,management,married,tertiary,no,1514,no,no,cellular,12,aug,284,no
27,blue-collar,single,primary,no,-579,yes,no,cellular,18,may,220,no
33,technician,single,secondary,no,0,yes,no,cellular,28,jan,191,no
50,services,married,secondary,no,901,yes,no,unknown,20,jun,8,no
21,blue-collar,married,primary,no,-172,yes,yes,cellular,15,may,409,yes
30,entrepreneur,married,primary,no,2686,yes,no,cellular,15,jul,808,yes
31,technician,married,tertiary,no,1570,yes,no,cellular,8,mar,277,yes
54,blue-collar,divorced,secondary,no,244,yes,yes,cellular,18,may,9,no
48,services,married,secondary,no,622,yes,no,cellular,25,jul,95,no
55,retired,married,secondary,no,971,no,yes,cellular,8,jul,154,no
48,admin.,married,secondary,no,660,no,no,cellular,18,feb,318,yes
32,management,single,tertiary,no,522,no,no,cellular,22,aug,576,yes
36,technician,married,tertiary,no,543,yes,no,cellular,15,apr,225,no
40,blue-collar,single,secondary,no,406,no,no,cellular,17,nov,205,no
33,admin.,married,secondary,no,82,yes,no,cellular,25,jul,735,yes
40,technician,married,secondary,no,4,yes,yes,cellular,4,aug,135,no
47,management,married,tertiary,no,4386,yes,no,telephone,23,jul,43,no
41,management,married,secondary,no,0,yes,no,cellular,2,feb,154,no
26,admin.,single,secondary,no,766,no,no,cellular,15,oct,457,yes
93,retired,married,unknown,no,775,no,no,cellular,22,jul,860,yes
48,management,married,tertiary,no,1808,yes,no,cellular,26,feb,245,yes
38,technician,divorced,secondary,no,273,yes,no,unknown,20,may,314,no
46,management,divorced,tertiary,no,558,no,no,cellular,6,jul,319,yes
20,student,single,secondary,no,215,no,no,cellular,24,nov,325,yes
51,management,married,tertiary,no,0,no,no,unknown,7,jun,302,yes
52,management,married,tertiary,no,40,no,no,cellular,19,nov,1265,yes
37,self-employed,divorced,tertiary,no,1513,no,no,unknown,30,may,510,no
24,blue-collar,married,primary,no,656,yes,no,unknown,16,may,894,yes
39,technician,single,secondary,no,102,yes,no,cellular,14,aug,272,no
36,admin.,married,tertiary,no,3221,no,no,cellular,4,may,322,yes
31,technician,married,tertiary,no,442,no,no,cellular,15,oct,244,no
61,retired,married,tertiary,no,3140,yes,yes,cellular,6,aug,975,yes
77,retired,married,secondary,no,638,no,no,cellular,7,aug,453,yes
39,management,married,tertiary,no,285,yes,no,cellular,15,jul,838,yes
46,blue-collar,married,primary,no,0,yes,no,telephone,11,may,30,no
58,management,married,primary,no,0,no,no,unknown,12,jun,77,no
37,technician,single,secondary,no,1590,yes,no,cellular,9,apr,121,no
56,admin.,single,secondary,no,2815,yes,no,cellular,11,sep,212,yes
40,management,married,secondary,no,9047,yes,no,cellular,21,nov,527,no
62,housemaid,married,tertiary,no,1528,no,no,cellular,15,oct,134,yes
39,blue-collar,married,secondary,no,261,no,no,cellular,4,may,841,yes
30,services,married,secondary,no,5,no,yes,cellular,10,jul,829,yes
55,technician,married,secondary,no,6958,yes,yes,cellular,21,nov,325,no
43,blue-collar,married,secondary,no,1376,yes,no,unknown,8,may,235,no
36,management,married,tertiary,no,2161,no,no,cellular,8,sep,708,yes
28,management,single,tertiary,no,187,no,no,cellular,9,mar,295,yes
39,management,married,tertiary,no,0,no,no,cellular,28,aug,93,no
48,blue-collar,married,primary,no,1757,yes,no,unknown,15,may,90,no
38,blue-collar,married,secondary,no,329,yes,yes,cellular,16,jul,111,no
41,admin.,married,secondary,no,2498,no,no,cellular,12,aug,411,yes
44,technician,single,tertiary,no,900,yes,no,cellular,29,jan,322,no
30,management,married,tertiary,no,1942,yes,yes,cellular,21,nov,436,yes
37,technician,married,secondary,yes,0,no,no,unknown,18,jun,236,no
21,student,single,unknown,no,53,no,no,cellular,14,jun,270,yes
28,admin.,divorced,secondary,no,451,yes,no,cellular,13,may,302,yes
28,blue-collar,single,secondary,no,1348,yes,no,cellular,6,aug,221,yes
43,technician,married,tertiary,no,2643,no,no,telephone,4,may,331,yes
37,services,married,secondary,no,343,yes,yes,cellular,7,jul,74,no
43,technician,single,secondary,no,0,yes,no,unknown,14,may,37,no
43,blue-collar,single,secondary,no,740,yes,no,unknown,20,jun,585,yes
55,technician,married,secondary,no,-14,yes,no,cellular,12,may,82,no
33,blue-collar,single,secondary,no,697,no,no,cellular,6,feb,860,yes
70,retired,divorced,primary,no,482,no,no,telephone,14,jan,372,yes
48,technician,married,secondary,no,23495,no,no,cellular,22,aug,63,no
57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,46,no
30,services,married,tertiary,no,6,yes,no,cellular,5,may,279,no
43,blue-collar,single,primary,no,0,no,no,cellular,9,jul,1242,yes
32,services,single,tertiary,no,1763,yes,no,cellular,7,may,163,no
31,admin.,married,secondary,no,2,yes,yes,cellular,12,may,703,yes
27,admin.,single,secondary,no,18188,yes,no,unknown,12,jun,541,yes
25,student,single,unknown,no,722,no,no,telephone,21,apr,623,yes
28,admin.,single,secondary,no,4745,no,no,telephone,12,may,360,yes
58,retired,married,secondary,no,3909,yes,no,unknown,3,jun,80,no
60,retired,married,secondary,no,523,no,no,cellular,11,feb,467,yes
59,technician,divorced,secondary,no,-296,no,yes,cellular,29,jan,34,no
32,services,married,secondary,no,144,yes,no,unknown,19,may,260,no
47,services,married,secondary,no,278,yes,no,cellular,7,may,51,no
40,blue-collar,married,secondary,no,384,no,yes,cellular,30,jul,142,no
42,blue-collar,married,primary,no,199,yes,no,cellular,2,feb,272,no
36,technician,single,secondary,no,2603,yes,no,cellular,18,aug,174,no
44,technician,single,secondary,no,244,yes,no,cellular,12,aug,1735,yes
32,management,single,tertiary,no,1160,yes,yes,unknown,11,jun,450,no
47,admin.,married,secondary,no,368,no,no,cellular,23,feb,269,yes
44,self-employed,married,tertiary,no,11757,no,no,cellular,7,may,152,no
43,management,divorced,tertiary,no,350,yes,no,unknown,4,jun,128,no
71,retired,married,secondary,no,5715,no,no,cellular,17,nov,747,yes
32,management,married,tertiary,no,1330,yes,no,unknown,21,may,83,no
47,blue-collar,married,primary,no,-169,yes,yes,cellular,14,may,172,no
67,retired,married,secondary,no,1443,no,no,cellular,8,apr,245,yes
56,self-employed,married,tertiary,no,719,no,no,cellular,27,aug,236,no
39,blue-collar,married,secondary,no,-145,yes,no,cellular,15,apr,1372,no
45,services,married,secondary,no,1621,no,no,cellular,18,aug,122,no
30,technician,married,tertiary,no,2166,no,no,cellular,12,jan,316,yes
22,student,single,secondary,no,722,yes,no,cellular,2,apr,108,no
28,technician,single,secondary,no,-125,yes,no,unknown,9,may,67,no
35,services,single,secondary,no,257,yes,no,unknown,2,jun,518,no
65,unemployed,married,secondary,no,3195,no,no,telephone,2,mar,904,yes
48,blue-collar,married,secondary,no,292,no,no,cellular,30,apr,271,yes
31,management,single,tertiary,no,533,no,no,cellular,12,nov,90,yes
33,services,married,tertiary,no,570,no,no,cellular,25,may,70,no
31,technician,married,tertiary,no,636,yes,no,cellular,4,may,352,yes
39,blue-collar,married,secondary,no,2612,yes,no,unknown,28,may,363,no
73,retired,married,primary,no,542,no,no,cellular,26,oct,355,yes
28,student,single,tertiary,no,22,yes,no,cellular,15,may,536,yes
49,admin.,single,secondary,no,293,no,no,cellular,28,jun,452,yes
20,blue-collar,single,secondary,no,423,yes,no,cellular,16,apr,498,yes
51,blue-collar,married,secondary,no,4787,yes,no,cellular,7,apr,895,yes
53,admin.,married,secondary,no,1796,no,no,telephone,16,mar,295,yes
36,blue-collar,married,secondary,no,3463,yes,no,telephone,21,nov,29,no
31,self-employed,married,primary,no,1074,yes,no,unknown,23,may,1438,no
65,retired,married,secondary,no,3409,no,no,cellular,15,feb,92,no
44,services,divorced,secondary,no,210,no,yes,unknown,12,may,111,no
26,blue-collar,single,primary,no,941,no,no,cellular,29,jan,1165,yes
41,management,married,secondary,no,6,no,no,cellular,5,may,123,no
35,entrepreneur,married,secondary,no,24,yes,no,unknown,20,may,81,no
42,services,divorced,secondary,no,257,yes,no,cellular,12,may,955,yes
38,services,married,secondary,no,775,no,no,cellular,12,feb,1835,yes
53,management,married,tertiary,no,4446,yes,no,unknown,14,may,429,no
36,services,married,unknown,no,618,no,no,cellular,13,jul,360,yes
36,management,married,secondary,no,565,no,no,cellular,27,mar,300,yes
37,technician,married,secondary,no,432,yes,no,cellular,6,jul,386,yes
55,technician,married,secondary,no,2014,yes,yes,unknown,15,may,253,no
51,technician,married,secondary,no,371,yes,yes,cellular,21,oct,287,yes
40,management,married,secondary,no,4396,no,no,cellular,12,aug,432,yes
31,management,single,secondary,no,360,yes,no,cellular,18,may,309,yes
37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,yes
25,services,single,secondary,no,2,no,no,cellular,8,jul,288,no
21,student,single,unknown,no,1506,no,no,cellular,14,sep,340,yes
36,management,single,tertiary,no,4,yes,no,cellular,7,may,855,yes
47,management,divorced,tertiary,no,12026,yes,no,telephone,27,oct,251,yes
44,admin.,married,secondary,no,10,no,no,unknown,20,jun,52,no
56,unemployed,married,primary,no,3391,no,no,cellular,21,apr,243,yes
41,management,divorced,tertiary,no,107,yes,no,cellular,17,jul,122,no
49,services,married,secondary,no,823,no,no,cellular,8,aug,780,yes
40,technician,single,tertiary,no,1646,yes,no,cellular,4,may,392,yes
37,self-employed,single,tertiary,no,3759,no,no,unknown,26,jun,650,no
43,blue-collar,married,primary,no,3064,yes,no,cellular,20,nov,2453,yes
41,retired,single,primary,no,2579,no,no,cellular,13,oct,213,no
52,technician,married,tertiary,no,1416,yes,no,cellular,14,jul,297,no
34,blue-collar,married,secondary,no,649,yes,no,cellular,6,may,224,no
55,retired,married,secondary,no,1,yes,no,telephone,7,may,79,no
37,unknown,married,primary,no,808,no,no,unknown,5,jun,228,no
54,management,married,tertiary,no,154,no,no,unknown,9,may,155,no
35,management,married,tertiary,no,925,no,no,cellular,8,jun,200,yes
32,technician,married,secondary,no,14,no,no,cellular,22,aug,313,no
27,blue-collar,single,primary,no,0,yes,no,unknown,4,jun,299,no
36,management,single,unknown,no,62,no,no,cellular,13,jul,311,yes
34,management,married,tertiary,no,611,no,no,cellular,2,jun,350,yes
30,self-employed,single,tertiary,no,3343,no,no,cellular,1,jun,235,yes
51,blue-collar,married,primary,no,0,no,no,cellular,7,aug,228,no
32,management,single,tertiary,no,311,no,no,unknown,12,may,757,yes
60,retired,married,secondary,no,374,no,no,cellular,19,aug,276,no
70,retired,married,primary,no,324,no,no,cellular,11,aug,632,yes
42,blue-collar,single,secondary,no,583,no,no,cellular,28,jan,567,no
35,management,married,tertiary,no,-126,no,no,cellular,22,aug,82,no
49,blue-collar,married,primary,no,3659,yes,no,unknown,7,may,160,no
39,technician,single,unknown,no,45248,yes,no,unknown,6,may,1623,yes
57,management,married,secondary,no,2155,no,yes,cellular,10,nov,144,yes
43,housemaid,married,primary,no,94,no,no,cellular,23,jul,35,no
42,unemployed,married,secondary,no,135,yes,no,unknown,13,may,259,no
55,management,married,tertiary,no,0,yes,yes,cellular,3,sep,187,no
47,housemaid,single,primary,no,2785,yes,no,cellular,13,may,570,yes
32,technician,married,secondary,no,303,yes,no,cellular,8,apr,150,yes
45,blue-collar,married,secondary,no,159,yes,yes,unknown,30,may,251,no
45,admin.,married,secondary,no,0,no,no,cellular,19,aug,145,no
46,technician,married,secondary,no,940,no,no,cellular,5,aug,1227,yes
26,management,single,tertiary,no,1004,yes,no,unknown,30,may,228,yes
44,management,married,tertiary,no,773,no,yes,cellular,9,jul,618,no
49,technician,married,tertiary,no,1071,no,no,cellular,16,sep,225,yes
67,retired,divorced,primary,no,2027,no,no,cellular,15,mar,161,yes
27,student,single,secondary,no,16173,yes,no,unknown,28,may,489,no
43,management,married,tertiary,no,3186,no,no,cellular,16,nov,380,yes
50,blue-collar,married,primary,no,-454,yes,no,telephone,25,jul,241,no
26,blue-collar,single,secondary,no,463,no,yes,cellular,2,jul,248,yes
68,retired,married,secondary,no,2469,yes,no,telephone,15,jul,552,yes
30,blue-collar,married,primary,no,595,yes,no,unknown,23,may,231,no
42,management,married,tertiary,no,0,yes,no,cellular,18,jul,177,no
41,housemaid,married,secondary,no,0,yes,no,telephone,28,jul,41,no
28,student,single,secondary,no,196,no,no,cellular,2,jul,423,yes
24,services,single,secondary,no,414,yes,no,cellular,18,may,493,yes
29,technician,married,tertiary,no,1489,yes,no,unknown,28,may,430,no
33,management,single,tertiary,no,201,yes,no,unknown,20,may,280,no
31,self-employed,married,tertiary,no,2666,no,no,cellular,10,nov,318,yes
40,technician,married,tertiary,no,-1779,yes,yes,unknown,18,jun,37,no
25,blue-collar,single,secondary,no,218,no,yes,cellular,7,jul,448,no
32,management,single,tertiary,no,6542,yes,no,cellular,15,may,1598,yes
24,student,single,secondary,no,23878,no,no,cellular,18,feb,185,yes
24,blue-collar,single,secondary,no,77,yes,no,unknown,16,may,236,no
26,blue-collar,single,primary,no,619,yes,yes,cellular,14,may,720,no
38,management,married,tertiary,no,1617,yes,no,cellular,16,apr,691,no
36,self-employed,married,primary,no,0,no,no,cellular,29,aug,97,no
50,technician,divorced,secondary,no,0,yes,no,cellular,14,may,109,no
46,technician,married,secondary,no,1571,yes,no,unknown,7,may,489,no
36,technician,divorced,secondary,no,3158,yes,no,cellular,3,jun,144,yes
74,retired,married,primary,no,670,no,no,cellular,23,apr,266,yes
40,management,single,tertiary,no,0,yes,no,cellular,23,feb,228,yes
30,management,married,tertiary,no,319,yes,yes,cellular,16,jul,91,no
67,retired,single,tertiary,no,2144,no,no,telephone,21,apr,847,yes
35,blue-collar,divorced,secondary,no,52,yes,no,unknown,30,may,574,no
52,blue-collar,married,secondary,no,955,no,yes,cellular,3,feb,153,yes
40,management,divorced,tertiary,no,502,yes,no,cellular,3,feb,267,no
50,blue-collar,married,primary,no,0,no,no,unknown,9,jun,199,no
32,self-employed,married,tertiary,no,1423,no,no,cellular,6,aug,1249,yes
46,student,single,unknown,no,1527,no,no,cellular,8,sep,358,yes
54,housemaid,married,primary,no,167,yes,no,cellular,22,jul,106,no
37,admin.,single,tertiary,no,1000,yes,no,cellular,22,sep,239,yes
61,retired,married,primary,no,56,no,no,cellular,7,sep,288,yes
42,technician,married,tertiary,no,-215,no,no,unknown,20,jun,1573,yes
30,self-employed,married,tertiary,no,2666,no,no,cellular,5,aug,475,yes
80,retired,married,secondary,no,462,no,no,cellular,7,dec,127,no
57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,yes
44,entrepreneur,married,tertiary,no,121,no,no,cellular,10,aug,412,yes
43,retired,single,primary,no,140,no,yes,telephone,9,jul,52,no
60,retired,married,secondary,no,0,no,no,telephone,31,jul,576,no
43,blue-collar,married,primary,no,953,yes,no,unknown,19,may,135,no
48,admin.,married,secondary,no,315,yes,no,cellular,12,may,165,no
32,management,single,tertiary,no,2360,no,no,cellular,3,feb,152,yes
31,services,single,secondary,no,222,yes,no,cellular,13,may,168,no
37,blue-collar,married,secondary,no,4321,no,no,cellular,5,jun,657,yes
29,technician,married,secondary,no,492,yes,no,cellular,9,jul,259,no
30,management,single,tertiary,no,528,yes,no,unknown,8,may,145,no
35,management,married,tertiary,no,2374,yes,yes,cellular,20,jul,174,no
35,technician,married,secondary,no,1140,yes,no,cellular,14,jul,69,no
30,technician,single,tertiary,no,411,no,no,cellular,22,oct,127,yes
58,admin.,married,secondary,no,169,no,no,cellular,13,aug,880,yes
41,management,married,tertiary,no,298,no,no,cellular,15,mar,209,no
50,technician,married,secondary,no,349,yes,no,telephone,28,jul,27,no
58,unemployed,married,primary,no,3884,no,no,unknown,9,jul,399,no
40,unemployed,married,secondary,no,277,yes,no,unknown,26,may,228,no
53,technician,married,secondary,no,65,no,no,cellular,25,nov,99,no
49,admin.,married,secondary,no,300,no,no,cellular,12,aug,76,no
56,management,divorced,tertiary,no,3287,no,no,cellular,27,apr,497,yes
55,management,divorced,tertiary,no,9756,yes,no,cellular,5,jun,103,yes
31,blue-collar,single,secondary,no,1979,yes,yes,cellular,6,may,1205,yes
40,technician,single,primary,no,340,yes,no,unknown,29,may,146,no
26,admin.,single,secondary,no,102,no,yes,cellular,8,jul,658,yes
38,management,divorced,tertiary,no,219,yes,no,cellular,10,jul,478,no
